date,nav
22-07-2025,195.07770
21-07-2025,195.52360
18-07-2025,195.09170
17-07-2025,196.53130
16-07-2025,196.27420
15-07-2025,195.55610
14-07-2025,194.37080
11-07-2025,193.77560
10-07-2025,194.40990
09-07-2025,194.40660
08-07-2025,193.50060
07-07-2025,193.74590
04-07-2025,194.34560
03-07-2025,194.06870
02-07-2025,193.58570
01-07-2025,194.05310
30-06-2025,194.16430
27-06-2025,192.75330
26-06-2025,191.72380
25-06-2025,190.81490
24-06-2025,188.12120
23-06-2025,187.43000
20-06-2025,186.46510
19-06-2025,185.20990
18-06-2025,187.84710
17-06-2025,188.13780
16-06-2025,188.67330
13-06-2025,187.99560
12-06-2025,188.63650
11-06-2025,191.10280
10-06-2025,191.37940
09-06-2025,190.65810
06-06-2025,188.62740
05-06-2025,188.07190
04-06-2025,186.91830
03-06-2025,186.07860
02-06-2025,186.51340
30-05-2025,185.63390
29-05-2025,185.14860
28-05-2025,184.57490
27-05-2025,184.20300
26-05-2025,184.28380
23-05-2025,183.51670
22-05-2025,182.66490
21-05-2025,183.18500
20-05-2025,182.27950
19-05-2025,183.85190
16-05-2025,183.29850
15-05-2025,181.09080
14-05-2025,179.38530
13-05-2025,177.24660
12-05-2025,176.10540
09-05-2025,169.88350
08-05-2025,170.85800
07-05-2025,172.28970
06-05-2025,170.66900
05-05-2025,174.15370
02-05-2025,172.51950
30-04-2025,172.74560
29-04-2025,174.99810
28-04-2025,174.40730
25-04-2025,173.30420
24-04-2025,177.21530
23-04-2025,177.15080
22-04-2025,176.60860
21-04-2025,174.81170
17-04-2025,172.22770
16-04-2025,171.50030
15-04-2025,170.16440
11-04-2025,165.67460
09-04-2025,161.71930
08-04-2025,163.06780
07-04-2025,160.10160
04-04-2025,165.37210
03-04-2025,169.78340
02-04-2025,168.76080
01-04-2025,167.17460
31-03-2025,167.52580
28-03-2025,167.53080
27-03-2025,167.66280
26-03-2025,167.07510
25-03-2025,169.50800
24-03-2025,171.76700
21-03-2025,169.51030
20-03-2025,166.85900
19-03-2025,165.31450
18-03-2025,162.76680
17-03-2025,159.01090
13-03-2025,158.95390
12-03-2025,160.08400
11-03-2025,160.34400
10-03-2025,160.82070
07-03-2025,163.51390
06-03-2025,162.62300
05-03-2025,160.25640
04-03-2025,156.72570
03-03-2025,154.91580
28-02-2025,155.83720
27-02-2025,159.19320
25-02-2025,161.39920
